hrs,absences,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
5.896431280678056,5,3,3,2.0,4.0,3.0,33,Travel_Rarely,Research & Development,1,4,Medical,1,437,Female,4,Manufacturing Director,Single,44650,0.0,Y,13,8,0,6.0,3,5,1,4,No
6.114877286925278,19,3,3,3.0,3.0,3.0,20,Travel_Rarely,Research & Development,18,4,Medical,1,2391,Female,2,Sales Executive,Single,37430,1.0,Y,13,8,1,2.0,2,2,2,2,No
6.3967302543505555,11,3,3,1.0,4.0,4.0,46,Travel_Rarely,Research & Development,18,1,Medical,1,3714,Male,1,Manufacturing Director,Divorced,59800,4.0,Y,11,8,1,28.0,2,7,4,3,Yes
5.722452030343334,22,4,3,1.0,1.0,4.0,40,Travel_Rarely,Sales,10,1,Life Sciences,1,3777,Female,1,Manufacturing Director,Married,65240,0.0,Y,13,8,1,9.0,2,8,7,1,No
5.663000892458611,21,3,3,4.0,4.0,3.0,38,Travel_Frequently,Research & Development,25,3,Medical,1,2744,Male,2,Manufacturing Director,Single,163280,1.0,Y,17,8,3,10.0,2,10,9,9,No
6.055022311468056,21,3,4,1.0,1.0,3.0,50,Non-Travel,Research & Development,17,3,Medical,1,396,Female,1,Laboratory Technician,Divorced,42980,1.0,Y,20,8,1,31.0,6,31,14,7,No
7.825200803212778,11,2,3,2.0,3.0,3.0,50,Travel_Frequently,Research & Development,4,2,Medical,1,3211,Male,4,Sales Representative,Married,44240,3.0,Y,14,8,1,18.0,2,4,1,3,Yes
7.093365684961944,15,2,3,4.0,4.0,2.0,58,Travel_Rarely,Sales,2,2,Medical,1,1339,Female,1,Research Scientist,Married,43850,1.0,Y,13,8,1,40.0,2,40,15,6,Yes
7.856687862561111,16,3,4,2.0,3.0,2.0,31,Travel_Rarely,Research & Development,2,4,Technical Degree,1,2807,Female,3,Sales Executive,Married,21410,4.0,Y,20,8,0,12.0,2,7,7,7,Yes
7.418408076751389,15,3,3,1.0,4.0,3.0,35,Travel_Rarely,Research & Development,2,3,Life Sciences,1,3166,Female,5,Sales Executive,Single,24960,4.0,Y,17,8,3,9.0,3,3,0,2,No
7.535359214636111,8,4,3,4.0,4.0,3.0,29,Travel_Rarely,Research & Development,1,3,Life Sciences,1,1584,Female,2,Research Director,Single,66670,9.0,Y,12,8,1,6.0,6,3,1,2,No
5.922831325301111,19,3,3,2.0,4.0,2.0,30,Travel_Frequently,Research & Development,4,5,Medical,1,366,Male,5,Sales Representative,Divorced,30580,9.0,Y,14,8,1,10.0,2,5,0,3,No
7.862736501561667,5,4,3,3.0,3.0,2.0,37,Travel_Rarely,Research & Development,29,4,Technical Degree,1,2371,Male,1,Laboratory Technician,Married,78800,3.0,Y,12,8,1,9.0,2,4,0,2,No
6.884605087014722,14,2,3,3.0,3.0,3.0,29,Travel_Rarely,Research & Development,20,1,Medical,1,915,Female,2,Manager,Single,41630,9.0,Y,15,8,1,8.0,4,5,1,4,No
6.2370716198125,14,3,3,4.0,4.0,3.0,45,Non-Travel,Research & Development,2,3,Medical,1,4371,Female,2,Research Scientist,Single,103680,6.0,Y,12,8,2,23.0,2,19,12,8,No
10.293937974118611,8,2,3,1.0,2.0,3.0,24,Travel_Rarely,Research & Development,27,2,Medical,1,3097,Male,1,Research Scientist,Single,104220,1.0,Y,17,8,1,6.0,0,5,1,4,Yes
7.183232931726667,7,2,3,2.0,1.0,2.0,28,Non-Travel,Research & Development,19,4,Life Sciences,1,1993,Female,4,Laboratory Technician,Single,52380,1.0,Y,17,8,1,10.0,4,10,1,9,Yes
6.869940874609444,5,3,3,4.0,4.0,3.0,45,Travel_Rarely,Research & Development,26,1,Medical,1,3396,Female,3,Healthcare Representative,Divorced,27940,3.0,Y,19,8,1,8.0,2,5,0,2,No
7.874956492636945,19,2,3,4.0,1.0,3.0,30,Travel_Rarely,Research & Development,10,4,Life Sciences,1,1427,Female,2,Research Scientist,Single,55620,5.0,Y,13,8,0,8.0,3,5,0,4,Yes
10.39396140116,12,2,3,4.0,3.0,3.0,58,Non-Travel,Research & Development,2,3,Life Sciences,1,1521,Male,2,Manufacturing Director,Divorced,39680,2.0,Y,13,8,2,12.0,3,5,1,2,No
9.496305220883333,8,2,4,3.0,4.0,2.0,35,Non-Travel,Research & Development,1,1,Life Sciences,1,3571,Male,2,Sales Executive,Married,136100,4.0,Y,22,8,2,16.0,4,13,4,12,No
6.515,20,3,3,3.0,1.0,3.0,43,Travel_Frequently,Research & Development,5,3,Medical,1,3495,Female,2,Laboratory Technician,Married,96990,8.0,Y,19,8,1,18.0,3,8,0,1,No
6.0182184292725,6,4,3,1.0,4.0,3.0,30,Travel_Rarely,Sales,9,1,Marketing,1,2154,Male,4,Research Director,Married,40890,0.0,Y,18,8,0,10.0,2,9,6,7,No
7.207096162427222,19,4,4,3.0,2.0,3.0,53,Travel_Frequently,Sales,8,2,Medical,1,1973,Male,2,Research Scientist,Married,120610,2.0,Y,20,8,1,30.0,2,15,6,12,No
5.868007585898889,13,4,4,1.0,4.0,3.0,50,Travel_Rarely,Sales,27,3,Medical,1,485,Male,2,Sales Executive,Married,33100,4.0,Y,22,8,1,8.0,3,1,0,0,No
6.9124386434625,20,3,3,1.0,4.0,2.0,32,Travel_Rarely,Research & Development,7,3,Technical Degree,1,1535,Male,2,Healthcare Representative,Single,24720,7.0,Y,13,8,0,10.0,2,7,0,7,No
6.141434627398334,13,3,3,4.0,3.0,3.0,32,Travel_Rarely,Research & Development,5,3,Technical Degree,1,2152,Female,1,Sales Executive,Married,96020,1.0,Y,13,8,1,10.0,3,10,1,1,Yes
6.6076416778222224,7,2,4,4.0,4.0,3.0,38,Travel_Rarely,Research & Development,16,3,Life Sciences,1,261,Male,5,Research Scientist,Single,147560,0.0,Y,20,8,1,8.0,3,7,0,5,No
9.75745872378389,5,3,4,3.0,3.0,3.0,42,Travel_Frequently,Research & Development,10,1,Life Sciences,1,1760,Female,1,Sales Executive,Divorced,50100,6.0,Y,21,8,3,7.0,3,2,2,2,Yes
