hrs,absences,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
5.9837304774652775,20,2,3,4.0,3.0,3.0,50,Non-Travel,Human Resources,2,2,Life Sciences,1,1964,Male,1,Laboratory Technician,Married,36880,0.0,Y,11,8,0,19.0,3,18,0,13
7.963643462739722,13,3,3,3.0,,3.0,40,Travel_Rarely,Sales,5,5,Life Sciences,1,3779,Male,1,Manufacturing Director,Single,52310,1.0,Y,12,8,2,21.0,4,21,7,7
6.131379964301389,10,3,3,3.0,3.0,3.0,42,Non-Travel,Research & Development,1,1,Technical Degree,1,4350,Male,2,Sales Executive,Divorced,78790,2.0,Y,11,8,1,11.0,2,5,0,2
7.3217224453366665,16,2,3,1.0,3.0,3.0,25,Travel_Rarely,Sales,29,1,Medical,1,4291,Female,3,Research Scientist,Married,30690,2.0,Y,14,8,1,6.0,3,2,2,2
6.466932173136945,14,3,4,3.0,3.0,3.0,34,Non-Travel,Research & Development,28,3,Medical,1,3076,Male,1,Laboratory Technician,Married,56770,9.0,Y,20,8,1,6.0,3,3,1,2
9.645630298973611,14,3,3,1.0,3.0,3.0,32,Travel_Frequently,Research & Development,9,3,Life Sciences,1,2588,Male,2,Laboratory Technician,Single,191900,3.0,Y,17,8,1,8.0,2,4,0,3
7.295871262828889,12,3,3,3.0,4.0,3.0,35,Travel_Frequently,Research & Development,6,4,Medical,1,2215,Female,2,Research Director,Single,61420,2.0,Y,15,8,1,10.0,2,2,2,2
7.1227253458275,9,3,3,2.0,4.0,4.0,37,Travel_Rarely,Research & Development,8,1,Life Sciences,1,207,Male,1,Sales Executive,Single,41930,4.0,Y,16,8,1,12.0,5,6,1,2
7.0677431950022225,20,3,4,4.0,4.0,3.0,25,Travel_Rarely,Research & Development,26,3,Technical Degree,1,4261,Male,1,Laboratory Technician,Married,88530,1.0,Y,22,8,1,2.0,3,2,2,1
6.428415885765277,20,3,4,4.0,3.0,2.0,32,Travel_Rarely,Sales,2,3,Marketing,1,1519,Male,2,Laboratory Technician,Married,27060,1.0,Y,21,8,1,13.0,4,13,4,8
7.460327978580834,5,2,3,3.0,2.0,3.0,38,Travel_Rarely,Research & Development,2,3,Medical,1,2325,Female,3,Sales Executive,Married,49080,4.0,Y,19,8,1,7.0,3,5,1,4
8.469769076305,17,2,3,4.0,4.0,3.0,41,Travel_Rarely,Research & Development,1,3,Life Sciences,1,1428,Male,2,Human Resources,Single,68830,3.0,Y,19,8,2,16.0,3,1,0,0
6.270796519410833,17,3,3,4.0,2.0,3.0,31,Travel_Rarely,Research & Development,16,4,Life Sciences,1,2248,Male,3,Human Resources,Single,42440,9.0,Y,13,8,0,8.0,3,3,0,2
5.795688308790556,8,3,3,3.0,2.0,3.0,21,Travel_Rarely,Human Resources,10,2,Human Resources,1,1583,Male,1,Laboratory Technician,Single,53730,1.0,Y,12,8,1,1.0,2,1,0,0
6.445033467201944,22,3,4,4.0,3.0,3.0,35,Travel_Rarely,Research & Development,5,3,Medical,1,2053,Male,1,Healthcare Representative,Married,57150,6.0,Y,24,8,2,10.0,0,8,1,7
7.007448683623333,22,3,3,3.0,4.0,3.0,43,Travel_Frequently,Research & Development,7,4,Medical,1,58,Male,4,Research Scientist,Single,24390,0.0,Y,15,8,0,9.0,2,8,1,7
9.768964747880277,17,2,4,3.0,4.0,3.0,27,Travel_Rarely,Sales,2,4,Medical,1,3293,Male,2,Manager,Divorced,33460,1.0,Y,21,8,1,9.0,2,9,0,8
6.2242904953144444,14,3,3,4.0,1.0,1.0,46,Travel_Rarely,Research & Development,12,4,Technical Degree,1,3818,Male,1,Laboratory Technician,Single,23320,1.0,Y,11,8,0,27.0,2,26,0,12
6.679244756804723,12,3,4,1.0,4.0,3.0,33,Travel_Rarely,Sales,5,4,Marketing,1,1649,Male,2,Research Director,Divorced,66520,7.0,Y,25,8,0,8.0,5,4,1,3
10.8810575635875,2,3,3,1.0,4.0,2.0,44,Travel_Rarely,Research & Development,22,3,Medical,1,3314,Female,1,Laboratory Technician,Married,104530,2.0,Y,11,8,1,10.0,2,3,0,2
7.396790495314445,10,3,3,2.0,1.0,3.0,41,Travel_Rarely,Research & Development,24,1,Life Sciences,1,209,Male,1,Research Director,Married,26610,7.0,Y,14,8,1,22.0,2,18,11,8
6.517575858991389,7,3,3,2.0,4.0,2.0,29,Travel_Rarely,Sales,10,2,Life Sciences,1,1418,Female,2,Research Scientist,Married,15550,1.0,Y,19,8,2,10.0,2,10,1,9
6.464262605979444,22,3,3,1.0,4.0,3.0,26,Travel_Frequently,Research & Development,2,2,Life Sciences,1,1784,Male,1,Manufacturing Director,Divorced,28350,3.0,Y,11,8,1,5.0,2,2,2,0
7.1114480142791665,7,2,3,4.0,4.0,3.0,45,Travel_Rarely,Research & Development,28,3,Life Sciences,1,903,Female,2,Laboratory Technician,Divorced,50670,1.0,Y,11,8,2,10.0,3,10,3,9
8.546979027219722,12,2,3,3.0,2.0,3.0,33,Travel_Frequently,Sales,1,3,Marketing,1,3398,Male,2,Human Resources,Married,21760,1.0,Y,14,8,1,6.0,2,6,1,2
7.0865763052208335,8,2,3,4.0,4.0,3.0,32,Travel_Rarely,Research & Development,8,1,Medical,1,4077,Female,2,Research Scientist,Single,46270,8.0,Y,17,8,1,8.0,2,1,0,0
9.959563810798612,8,3,3,4.0,3.0,3.0,34,Travel_Rarely,Human Resources,2,3,Human Resources,1,2297,Male,2,Manufacturing Director,Married,28180,1.0,Y,13,8,1,10.0,2,10,8,6
5.875727353859722,9,3,3,4.0,4.0,2.0,31,Travel_Rarely,Sales,10,2,Life Sciences,1,1271,Female,2,Research Scientist,Divorced,112440,3.0,Y,12,8,1,10.0,3,7,1,7
7.1089502454261115,10,3,3,3.0,4.0,2.0,52,Travel_Rarely,Research & Development,1,2,Medical,1,1443,Female,4,Manager,Single,83460,7.0,Y,14,8,0,6.0,5,2,2,2
5.710493083444722,19,4,4,1.0,4.0,3.0,50,Travel_Rarely,Sales,27,3,Medical,1,1955,Male,2,Sales Executive,Married,33100,4.0,Y,22,8,1,8.0,3,1,0,0
6.823829763498333,22,3,3,4.0,3.0,3.0,23,Travel_Rarely,Sales,2,3,Medical,1,653,Male,3,Laboratory Technician,Married,18780,1.0,Y,13,8,1,1.0,2,1,0,1
7.6939491298525,3,2,3,4.0,1.0,3.0,50,Travel_Rarely,Research & Development,2,2,Medical,1,3860,Male,3,Sales Executive,Divorced,43770,5.0,Y,12,8,1,19.0,2,14,1,11
9.751638777331388,18,3,3,3.0,1.0,3.0,49,Travel_Frequently,Research & Development,1,1,Medical,1,2973,Female,2,Research Scientist,Single,35910,9.0,Y,13,8,0,22.0,2,3,1,2
7.179499107541111,5,2,3,4.0,4.0,3.0,45,Travel_Rarely,Research & Development,28,3,Life Sciences,1,2373,Female,2,Laboratory Technician,Divorced,50670,1.0,Y,11,8,2,10.0,3,10,3,9
5.524569388665555,21,3,3,3.0,2.0,4.0,42,Travel_Frequently,Sales,2,2,Marketing,1,2978,Male,3,Research Director,Married,29560,5.0,Y,13,8,0,23.0,2,20,4,8
10.097321508255,18,2,3,3.0,3.0,2.0,47,Travel_Rarely,Research & Development,8,4,Medical,1,2280,Female,2,Sales Representative,Married,23660,3.0,Y,17,8,0,11.0,5,5,1,2
8.626478134761111,7,1,4,4.0,3.0,3.0,35,Travel_Rarely,Research & Development,12,2,Medical,1,181,Female,2,Sales Representative,Married,28090,4.0,Y,23,8,1,10.0,2,8,0,0
9.375738509593889,4,3,3,1.0,1.0,3.0,42,Travel_Frequently,Human Resources,8,2,Medical,1,630,Male,1,Sales Executive,Married,106480,3.0,Y,13,8,1,20.0,1,1,0,0
